Crop,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,temperature,humidity,ph,rainfall,N_percent,P_percent,K_percent,total_yield,Fertilizer_per_ha,Pesticide_per_ha,Soil_Type
Small millets,Kharif     ,Tamil Nadu,18166.0,22198,970.9,2860055.0,6903.1,1.45,26.3,37.0,5.16,298.6,46.5,25.5,28.0,26340.7,157.4399977980843,0.3800011009578333,Loamy
Small millets,Rabi       ,Tamil Nadu,586.0,723,970.9,92259.8,222.7,1.23,24.8,56.3,5.91,298.6,46.1,24.0,29.8,720.78,157.43993174061433,0.3800341296928327,Loamy
Sugarcane,Whole Year ,Tamil Nadu,171856.0,17155603,970.9,27057008.6,65305.3,94.5,28.7,58.7,6.53,298.6,59.4,18.7,21.9,16240392.0,157.439999767247,0.3800001163765013,Loamy
Sunflower,Kharif     ,Tamil Nadu,542.0,1057,970.9,85332.5,206.0,1.97,31.7,70.8,6.18,298.6,50.1,26.2,23.7,1067.74,157.440036900369,0.3800738007380074,Alluvial
Sweet potato,Whole Year ,Tamil Nadu,302.0,7946,970.9,47546.9,114.8,26.34,33.5,55.5,6.53,298.6,43.7,27.8,28.5,7954.68,157.44006622516557,0.3801324503311258,Loamy
Tapioca,Whole Year ,Tamil Nadu,79344.0,2715116,970.9,12491919.4,30150.7,34.54,19.1,74.1,5.7,298.6,49.4,23.0,27.6,2740541.76,157.4400005041339,0.379999747933051,Loamy
Tobacco,Whole Year ,Tamil Nadu,3788.0,5710,970.9,596382.7,1439.4,1.59,26.2,71.2,7.24,298.6,51.3,26.0,22.6,6022.92,157.43999472016895,0.3799894403379092,Loamy
Turmeric,Whole Year ,Tamil Nadu,18080.0,73134,970.9,2846515.2,6870.4,4.34,23.5,83.1,6.95,298.6,45.5,29.0,25.4,78467.2,157.44,0.38,Red Loamy
Urad,Kharif     ,Tamil Nadu,58422.0,53226,970.9,9197959.7,22200.4,0.89,29.2,65.9,6.75,298.6,48.6,31.3,20.1,51995.58,157.4400003423368,0.3800006846735819,Loamy
Urad,Rabi       ,Tamil Nadu,367910.0,248377,970.9,57923750.4,139805.8,0.68,30.1,61.2,7.0,298.6,48.7,27.1,24.2,250178.8,157.44,0.3799999999999999,Loamy
Arecanut,Kharif     ,Andhra Pradesh,976.0,5317,1220.5,158307.2,341.6,4.15,26.4,64.9,7.63,298.6,53.9,21.9,24.2,4050.400000000001,162.20000000000002,0.35,Laterite
Arhar/Tur,Kharif     ,Andhra Pradesh,245675.0,44213,1220.5,39848485.0,85986.2,0.31,28.0,75.1,6.07,298.6,52.3,23.5,24.2,76159.25,162.2,0.3499997964790882,Sandy Loam
Arhar/Tur,Rabi       ,Andhra Pradesh,4099.0,1352,1220.5,664857.8,1434.6,0.31,18.7,73.4,6.23,298.6,47.3,23.8,28.9,1270.69,162.20000000000002,0.3499878019029031,Sandy Loam
Bajra,Kharif     ,Andhra Pradesh,20932.0,21212,1220.5,3395170.4,7326.2,1.3,27.3,49.3,6.18,298.6,51.5,23.1,25.4,27211.6,162.2,0.35,Sandy
Banana,Whole Year ,Andhra Pradesh,59098.0,6223680,1220.5,9585695.6,20684.3,126.39,32.2,65.9,6.94,119.8,47.3,26.2,26.5,7469396.22,162.2,0.35,Loamy
Cashewnut,Kharif     ,Andhra Pradesh,112612.0,99169,1220.5,18265666.4,39414.2,1.21,25.5,51.2,6.35,298.6,51.8,25.6,22.6,136260.52,162.2,0.35,Loamy
Castor seed,Kharif     ,Andhra Pradesh,34682.0,14535,1220.5,5625420.4,12138.7,0.37,27.2,41.2,6.55,298.6,48.8,24.5,26.7,12832.34,162.20000000000002,0.35,Sandy Loam
Castor seed,Rabi       ,Andhra Pradesh,1839.0,637,1220.5,298285.8,643.6,0.41,28.6,86.7,6.19,298.6,49.8,25.1,25.0,753.99,162.2,0.3499728113104948,Sandy Loam
Coconut ,Whole Year ,Andhra Pradesh,104530.0,1571100000,1220.5,16954766.0,36585.5,15636.63,18.7,45.8,6.5,225.6,49.0,26.0,25.0,1634496933.9,162.2,0.35,Loamy
Coriander,Rabi       ,Andhra Pradesh,1569.0,360,1220.5,254491.8,549.2,0.33,23.5,73.6,5.85,298.6,52.8,23.4,23.8,517.77,162.2,0.350031867431485,Loamy
Cotton(lint),Rabi       ,Andhra Pradesh,3404.0,8162,1220.5,552128.8,1191.4,2.25,14.6,60.7,6.87,99.9,46.3,25.0,28.7,7659.0,162.20000000000002,0.35,Black
Cowpea(Lobia),Kharif     ,Andhra Pradesh,13385.0,1381,1220.5,2171047.0,4684.8,0.18,21.9,86.1,5.78,298.6,43.6,30.1,26.4,2409.3,162.2,0.3500037355248412,Loamy
Cowpea(Lobia),Rabi       ,Andhra Pradesh,13621.0,6960,1220.5,2209326.2,4767.4,0.53,15.6,43.7,6.83,298.6,46.9,22.6,30.6,7219.13,162.20000000000002,0.3500036708024374,Loamy
Dry chillies,Kharif     ,Andhra Pradesh,143497.0,450822,1220.5,23275213.4,50224.0,2.99,35.7,61.8,6.41,298.6,55.9,24.7,19.4,429056.03,162.2,0.3500003484393402,Loamy
Ginger,Kharif     ,Andhra Pradesh,296.0,536,1220.5,48011.2,103.6,3.13,31.9,62.2,6.67,298.6,52.9,25.7,21.5,926.48,162.2,0.35,Loamy
Gram,Kharif     ,Andhra Pradesh,31.0,5,1220.5,5028.2,10.8,0.5,30.9,55.4,6.24,298.6,51.4,22.3,26.3,15.5,162.2,0.3483870967741935,Sandy Loam
Gram,Rabi       ,Andhra Pradesh,477851.0,242641,1220.5,77507432.2,167247.8,1.03,27.6,51.5,7.12,298.6,49.7,20.7,29.6,492186.53,162.20000000000002,0.3499998953648731,Sandy Loam
Groundnut,Rabi       ,Andhra Pradesh,60806.0,129017,1220.5,9862733.2,21282.1,2.72,31.5,58.6,5.75,298.6,45.2,25.1,29.8,165392.32,162.2,0.35,Sandy Loam
Horse-gram,Kharif     ,Andhra Pradesh,57122.0,10517,1220.5,9265188.4,19992.7,0.14,22.9,63.2,5.93,298.6,49.4,23.4,27.3,7997.080000000001,162.20000000000002,0.35,Loamy
Horse-gram,Rabi       ,Andhra Pradesh,61676.0,27729,1220.5,10003847.2,21586.6,0.56,25.8,70.6,6.0,298.6,47.6,25.9,26.6,34538.560000000005,162.2,0.35,Loamy
Jowar,Kharif     ,Andhra Pradesh,15114.0,1957,1220.5,2451490.8,5289.9,0.21,17.8,63.8,6.01,298.6,52.5,30.4,17.1,3173.94,162.2,0.35,Red
Jowar,Rabi       ,Andhra Pradesh,140651.0,227506,1220.5,22813592.2,49227.8,1.48,21.7,63.2,6.5,298.6,52.1,24.9,23.1,208163.48,162.2,0.3499996445101705,Red
Linseed,Kharif     ,Andhra Pradesh,151.0,0,1220.5,24492.2,52.8,0.0,19.9,45.7,6.05,298.6,48.8,26.4,24.8,0.0,162.20000000000002,0.3496688741721854,Loamy
Maize,Kharif     ,Andhra Pradesh,104370.0,431440,1220.5,16928814.0,36529.5,3.72,23.4,54.9,5.65,109.8,54.3,23.2,22.4,388256.4,162.2,0.35,Alluvial
Maize,Rabi       ,Andhra Pradesh,161853.0,1131719,1220.5,26252556.6,56648.6,5.79,26.1,48.2,6.56,109.8,48.6,28.5,22.9,937128.87,162.20000000000002,0.3500003089222936,Alluvial
Mesta,Kharif     ,Andhra Pradesh,2934.0,29662,1220.5,475894.8,1026.9,9.88,24.1,64.8,6.57,298.6,49.3,25.9,24.7,28987.92,162.2,0.35,Loamy
Moong(Green Gram),Kharif     ,Andhra Pradesh,17874.0,5247,1220.5,2899162.8,6255.9,0.61,27.3,52.0,6.12,298.6,48.0,23.9,28.1,10903.14,162.2,0.35,Sandy Loam
Moong(Green Gram),Rabi       ,Andhra Pradesh,103081.0,79502,1220.5,16719738.2,36078.4,0.68,22.7,67.8,6.66,298.6,46.4,27.6,26.0,70095.08,162.2,0.3500004850554418,Sandy Loam
Niger seed,Kharif     ,Andhra Pradesh,23.0,7,1220.5,3730.6,8.0,0.3,25.0,59.0,6.56,298.6,48.1,23.9,28.0,6.9,162.2,0.3478260869565217,Loamy
Niger seed,Rabi       ,Andhra Pradesh,5797.0,1843,1220.5,940273.4,2029.0,0.28,17.1,51.0,6.26,298.6,51.5,23.7,24.8,1623.16,162.20000000000002,0.3500086251509401,Loamy
Oilseeds total,Kharif     ,Andhra Pradesh,941981.0,2321558,1220.5,152789318.2,329693.4,4.4,21.0,64.3,5.44,298.6,50.9,27.5,21.6,4144716.4,162.2,0.3500000530796269,Loamy
Oilseeds total,Rabi       ,Andhra Pradesh,114507.0,148801,1220.5,18573035.4,40077.4,1.44,27.0,65.7,6.14,298.6,50.4,24.2,25.4,164890.08,162.2,0.3499995633454723,Loamy
Onion,Kharif     ,Andhra Pradesh,24750.0,677050,1220.5,4014450.0,8662.5,247.57,23.4,66.1,6.18,298.6,49.7,27.0,23.3,6127357.5,162.2,0.35,Loamy
Onion,Rabi       ,Andhra Pradesh,5021.0,299805,1220.5,814406.2,1757.4,80.27,23.3,53.6,6.69,298.6,51.6,24.5,23.9,403035.67,162.2,0.3500099581756622,Loamy
Other  Rabi pulses,Rabi       ,Andhra Pradesh,11259.0,8745,1220.5,1826209.8,3940.6,2.35,21.1,55.7,6.27,298.6,47.1,29.3,23.6,26458.65,162.20000000000002,0.3499955591082689,Loamy
Other Kharif pulses,Kharif     ,Andhra Pradesh,2454.0,810,1220.5,398038.8,858.9,0.32,24.0,54.3,6.21,298.6,44.8,26.8,28.4,785.28,162.2,0.35,Loamy
Potato,Kharif     ,Andhra Pradesh,486.0,2992,1220.5,78829.2,170.1,7.44,28.1,50.2,7.2,298.6,45.8,29.6,24.6,3615.84,162.2,0.35,Alluvial
Potato,Rabi       ,Andhra Pradesh,970.0,6026,1220.5,157334.0,339.5,8.1,27.7,60.4,6.66,298.6,50.5,22.8,26.7,7857.0,162.2,0.35,Alluvial
Ragi,Kharif     ,Andhra Pradesh,23993.0,29467,1220.5,3891664.6,8397.6,1.31,30.1,45.7,7.42,298.6,52.3,23.9,23.8,31430.83,162.20000000000002,0.3500020839411495,Red
Ragi,Rabi       ,Andhra Pradesh,8149.0,13853,1220.5,1321767.8,2852.2,1.78,34.3,71.3,7.18,298.6,48.3,26.2,25.5,14505.22,162.20000000000002,0.3500061357221745,Red
Rapeseed &Mustard,Rabi       ,Andhra Pradesh,4485.0,1545,1220.5,727467.0,1569.8,0.25,24.1,61.3,7.17,298.6,54.7,24.2,21.0,1121.25,162.2,0.3500111482720178,Loamy
Rice,Kharif     ,Andhra Pradesh,1563887.0,5243250,1220.5,253662471.4,547360.4,3.26,29.9,88.2,5.66,298.6,58.3,25.1,16.7,5098271.62,162.20000000000002,0.3499999680283805,Clayey
Rice,Rabi       ,Andhra Pradesh,644417.0,2991289,1220.5,104524437.4,225546.0,3.7,16.1,59.4,5.5,298.6,50.3,29.3,20.4,2384342.9,162.20000000000002,0.3500000775895111,Clayey
Safflower,Kharif     ,Andhra Pradesh,40.0,6,1220.5,6488.0,14.0,0.15,29.3,53.4,6.07,298.6,48.0,27.5,24.5,6.0,162.2,0.35,Loamy
Sesamum,Kharif     ,Andhra Pradesh,16598.0,4489,1220.5,2692195.6,5809.3,0.23,26.8,60.7,7.04,298.6,48.2,25.3,26.5,3817.54,162.20000000000002,0.35,Loamy
Sesamum,Rabi       ,Andhra Pradesh,31114.0,8326,1220.5,5046690.8,10889.9,0.3,34.5,78.8,7.26,298.6,50.6,23.0,26.4,9334.2,162.2,0.35,Loamy
Small millets,Kharif     ,Andhra Pradesh,10053.0,4483,1220.5,1630596.6,3518.6,0.56,24.9,42.9,6.89,298.6,45.1,24.8,30.1,5629.68,162.20000000000002,0.3500049736397095,Loamy
Soyabean,Kharif     ,Andhra Pradesh,1411.0,2718,1220.5,228864.2,493.8,1.74,18.9,51.4,6.5,298.6,50.8,27.3,21.9,2455.14,162.20000000000002,0.3499645641389086,Black
Soyabean,Rabi       ,Andhra Pradesh,5.0,10,1220.5,811.0,1.8,2.0,26.5,42.9,6.53,298.6,49.6,23.3,27.2,10.0,162.2,0.36,Black
Sunflower,Kharif     ,Andhra Pradesh,3248.0,1810,1220.5,526825.6,1136.8,0.99,30.0,78.2,5.85,298.6,54.2,21.9,23.8,3215.52,162.2,0.35,Alluvial
Sunflower,Rabi       ,Andhra Pradesh,10081.0,7363,1220.5,1635138.2,3528.4,0.46,26.3,53.8,5.35,298.6,54.2,24.4,21.3,4637.26,162.2,0.3500049598254141,Alluvial
Sweet potato,Kharif     ,Andhra Pradesh,91.0,1476,1220.5,14760.2,31.8,17.15,25.6,59.0,6.75,298.6,47.7,25.2,27.1,1560.65,162.20000000000002,0.3494505494505495,Loamy
Sweet potato,Rabi       ,Andhra Pradesh,418.0,8479,1220.5,67799.6,146.3,18.65,18.4,51.7,7.0,298.6,50.0,25.6,24.4,7795.7,162.20000000000002,0.35,Loamy
Tapioca,Kharif     ,Andhra Pradesh,7350.0,86912,1220.5,1192170.0,2572.5,12.9,23.0,54.1,5.74,298.6,49.4,27.1,23.5,94815.0,162.2,0.35,Loamy
Tapioca,Rabi       ,Andhra Pradesh,83.0,743,1220.5,13462.6,29.0,11.44,29.7,54.1,6.17,298.6,50.1,25.7,24.1,949.52,162.20000000000002,0.3493975903614458,Loamy
Tobacco,Kharif     ,Andhra Pradesh,24635.0,327589,1220.5,3995797.0,8622.2,57.12,28.4,44.6,6.32,298.6,48.8,25.8,25.4,1407151.2,162.2,0.3499979703673635,Loamy
Tobacco,Rabi       ,Andhra Pradesh,83743.0,128477,1220.5,13583114.6,29310.0,2.02,30.1,55.5,5.48,298.6,47.5,26.0,26.5,169160.86000000002,162.2,0.3499994029351707,Loamy
Urad,Kharif     ,Andhra Pradesh,22364.0,18119,1220.5,3627440.8,7827.4,0.75,22.4,48.4,5.98,298.6,53.1,21.2,25.7,16773.0,162.2,0.35,Loamy
Urad,Rabi       ,Andhra Pradesh,295651.0,292412,1220.5,47954592.2,103477.8,0.78,25.2,58.8,6.3,298.6,50.7,24.6,24.7,230607.78,162.20000000000002,0.3499998308816814,Loamy
Wheat,Rabi       ,Andhra Pradesh,102.0,19,1220.5,16544.4,35.7,0.1,17.8,60.0,7.77,298.6,59.4,21.4,19.2,10.2,162.20000000000002,0.35,Alluvial
other oilseeds,Kharif     ,Andhra Pradesh,94090.0,1965083,1220.5,15261398.0,32931.5,16.59,23.3,78.7,7.1,298.6,49.0,24.0,26.9,1560953.1,162.2,0.35,Loamy
Arecanut,Kharif     ,Puducherry,52.0,78,1693.9,8434.4,18.2,1.5,22.4,41.9,6.57,298.6,45.8,26.2,28.0,78.0,162.2,0.35,Laterite
Bajra,Kharif     ,Puducherry,7.0,17,1693.9,1135.4,2.4,2.43,29.4,58.3,7.41,298.6,50.3,27.2,22.5,17.01,162.20000000000002,0.3428571428571428,Sandy
Bajra,Rabi       ,Puducherry,1.0,3,1693.9,162.2,0.4,3.0,32.6,60.0,7.45,298.6,51.0,24.3,24.7,3.0,162.2,0.4,Sandy
Bajra,Summer     ,Puducherry,3.0,8,1693.9,486.6,1.0,2.67,24.1,50.2,6.86,298.6,53.5,20.9,25.6,8.01,162.20000000000002,0.3333333333333333,Sandy
Banana,Kharif     ,Puducherry,262.0,9124,1693.9,42496.4,91.7,24.5,29.3,77.6,6.94,119.8,49.8,23.9,26.3,6419.0,162.20000000000002,0.35,Loamy
Black pepper,Kharif     ,Puducherry,11.0,15,1693.9,1784.2,3.8,1.36,32.0,52.7,7.14,298.6,49.7,27.4,22.9,14.96,162.20000000000002,0.3454545454545454,Loamy
Cashewnut,Kharif     ,Puducherry,145.0,61,1693.9,23519.0,50.8,0.42,24.0,46.4,7.37,298.6,54.2,23.0,22.8,60.9,162.2,0.3503448275862069,Loamy
Coconut ,Whole Year ,Puducherry,1877.0,17923000,1693.9,304449.4,657.0,8363.16,24.6,54.5,6.89,225.6,48.5,28.0,23.5,15697651.32,162.20000000000002,0.3500266382525306,Loamy
Cotton(lint),Kharif     ,Puducherry,283.0,294,1693.9,45902.6,99.0,1.52,32.1,43.6,5.75,99.9,52.6,18.4,29.1,430.16,162.2,0.3498233215547703,Black
Dry chillies,Kharif     ,Puducherry,1.0,14,1693.9,162.2,0.4,14.0,27.1,56.8,6.59,298.6,52.5,20.3,27.2,14.0,162.2,0.4,Loamy
Dry chillies,Rabi       ,Puducherry,2.0,21,1693.9,324.4,0.7,10.5,19.0,53.1,5.36,298.6,55.7,21.4,22.9,21.0,162.2,0.35,Loamy
Dry chillies,Summer     ,Puducherry,3.0,41,1693.9,486.6,1.0,13.67,19.4,58.5,6.4,298.6,49.9,23.5,26.6,41.01,162.20000000000002,0.3333333333333333,Loamy
Groundnut,Summer     ,Puducherry,13.0,42,1693.9,2108.6,4.6,3.23,26.7,40.9,5.43,298.6,44.5,28.0,27.5,41.99,162.2,0.3538461538461538,Sandy Loam
Jowar,Kharif     ,Puducherry,4.0,10,1693.9,648.8,1.4,2.5,25.4,43.7,6.24,298.6,47.1,24.9,27.9,10.0,162.2,0.35,Red
Jowar,Summer     ,Puducherry,1.0,3,1693.9,162.2,0.4,3.0,27.3,79.1,6.68,298.6,44.4,32.2,23.4,3.0,162.2,0.4,Red
Moong(Green Gram),Rabi       ,Puducherry,5.0,4,1693.9,811.0,1.8,0.84,25.8,61.2,6.64,298.6,52.0,26.1,21.8,4.2,162.2,0.36,Sandy Loam
Moong(Green Gram),Summer     ,Puducherry,660.0,274,1693.9,107052.0,231.0,0.66,37.9,67.8,6.53,298.6,52.9,20.8,26.3,435.6,162.2,0.35,Sandy Loam
Onion,Kharif     ,Puducherry,1.0,3,1693.9,162.2,0.4,3.0,22.2,64.8,6.75,298.6,46.0,22.2,31.8,3.0,162.2,0.4,Loamy
Onion,Summer     ,Puducherry,1.0,6,1693.9,162.2,0.4,6.0,23.7,84.0,7.29,298.6,47.7,23.3,29.0,6.0,162.2,0.4,Loamy
Other  Rabi pulses,Rabi       ,Puducherry,62.0,62,1693.9,10056.4,21.7,1.0,26.3,52.1,7.12,298.6,44.9,31.4,23.6,62.0,162.2,0.35,Loamy
Other Kharif pulses,Kharif     ,Puducherry,1.0,1,1693.9,162.2,0.4,1.0,22.0,49.5,5.98,298.6,49.6,29.3,21.1,1.0,162.2,0.4,Loamy
Other Summer Pulses,Summer     ,Puducherry,10.0,10,1693.9,1622.0,3.5,1.0,25.0,53.2,6.24,298.6,49.8,25.3,25.0,10.0,162.2,0.35,Loamy
Ragi,Kharif     ,Puducherry,26.0,60,1693.9,4217.2,9.1,2.31,22.0,51.0,5.62,298.6,50.5,22.5,27.0,60.06,162.2,0.35,Red
Ragi,Rabi       ,Puducherry,1.0,3,1693.9,162.2,0.4,3.0,24.8,56.2,5.98,298.6,52.0,26.0,22.0,3.0,162.2,0.4,Red
Ragi,Summer     ,Puducherry,14.0,35,1693.9,2270.8,4.9,2.5,18.2,37.3,7.18,298.6,50.0,26.7,23.4,35.0,162.20000000000002,0.35,Red
Rice,Kharif     ,Puducherry,4298.0,16082,1693.9,697135.6,1504.3,3.37,27.4,83.2,5.47,298.6,55.4,22.7,21.9,14484.26,162.2,0.35,Clayey
Rice,Summer     ,Puducherry,4515.0,16626,1693.9,732333.0,1580.2,2.88,19.6,61.1,5.53,298.6,53.7,23.7,22.6,13003.2,162.2,0.3499889258028793,Clayey
Sesamum,Kharif     ,Puducherry,2.0,2,1693.9,324.4,0.7,1.0,32.3,65.0,7.17,298.6,49.2,23.2,27.6,2.0,162.2,0.35,Loamy
Sesamum,Rabi       ,Puducherry,5.0,4,1693.9,811.0,1.8,0.8,24.8,49.3,7.36,298.6,50.4,26.8,22.8,4.0,162.2,0.36,Loamy
Sesamum,Summer     ,Puducherry,120.0,103,1693.9,19464.0,42.0,0.52,33.4,58.1,7.11,298.6,48.0,25.4,26.6,62.400000000000006,162.2,0.35,Loamy
Small millets,Kharif     ,Puducherry,9.0,11,1693.9,1459.8,3.2,1.22,36.0,40.6,6.1,298.6,51.4,22.8,25.8,10.98,162.2,0.3555555555555555,Loamy
Sweet potato,Kharif     ,Puducherry,3.0,24,1693.9,486.6,1.0,8.0,22.2,55.5,7.38,298.6,53.1,27.4,19.6,24.0,162.20000000000002,0.3333333333333333,Loamy
Tapioca,Kharif     ,Puducherry,182.0,4537,1693.9,29520.4,63.7,32.25,18.7,73.4,6.69,298.6,47.7,24.0,28.3,5869.5,162.20000000000002,0.35,Loamy
Tapioca,Rabi       ,Puducherry,6.0,147,1693.9,973.2,2.1,24.5,32.6,59.9,6.09,298.6,45.9,27.1,27.0,147.0,162.20000000000002,0.35,Loamy
Turmeric,Kharif     ,Puducherry,6.0,15,1693.9,973.2,2.1,2.5,26.0,53.6,7.15,298.6,55.0,20.7,24.3,15.0,162.20000000000002,0.35,Red Loamy
Urad,Kharif     ,Puducherry,6.0,5,1693.9,973.2,2.1,0.83,30.8,60.9,6.21,298.6,51.4,26.6,22.0,4.98,162.20000000000002,0.35,Loamy
Urad,Rabi       ,Puducherry,155.0,155,1693.9,25141.0,54.2,1.0,25.5,64.4,6.21,298.6,51.2,25.1,23.7,155.0,162.2,0.3496774193548387,Loamy
Urad,Summer     ,Puducherry,338.0,152,1693.9,54823.6,118.3,0.75,29.3,48.2,6.61,298.6,48.5,22.7,28.9,253.5,162.2,0.35,Loamy
Arecanut,Rabi       ,Assam,67210.0,47324,2372.9,10901462.0,23523.5,0.73,24.3,52.0,6.04,298.6,47.5,25.6,26.8,49063.3,162.2,0.35,Laterite
Arhar/Tur,Kharif     ,Assam,5550.0,4628,2372.9,900210.0,1942.5,0.85,24.2,57.3,6.58,298.6,49.2,22.1,28.7,4717.5,162.2,0.35,Sandy Loam
Banana,Whole Year ,Assam,51113.0,917792,2372.9,8290528.6,17889.6,17.68,25.1,66.4,6.75,119.8,52.2,22.4,25.4,903677.84,162.2,0.3500009782247177,Loamy
Black pepper,Whole Year ,Assam,3388.0,7476,2372.9,549533.6,1185.8,2.13,36.4,79.0,6.59,298.6,53.9,20.2,25.9,7216.44,162.2,0.35,Loamy
Castor seed,Kharif     ,Assam,724.0,336,2372.9,117432.8,253.4,0.62,24.6,56.2,6.35,298.6,52.0,22.1,25.9,448.88,162.20000000000002,0.35,Sandy Loam
Coconut ,Whole Year ,Assam,20752.0,160226000,2372.9,3365974.4,7263.2,8664.69,24.4,49.4,7.5,225.6,51.5,22.3,26.2,179809646.88000005,162.2,0.35,Loamy
Cotton(lint),Kharif     ,Assam,843.0,431,2372.9,136734.6,295.0,0.63,22.4,47.0,7.16,99.9,48.7,19.9,31.4,531.09,162.20000000000002,0.3499406880189798,Black
Dry chillies,Whole Year ,Assam,19847.0,18984,2372.9,3219183.4,6946.4,0.88,28.1,56.8,7.06,298.6,48.5,24.8,26.7,17465.36,162.2,0.3499974807275658,Loamy
Ginger,Whole Year ,Assam,17865.0,166272,2372.9,2897703.0,6252.8,9.17,27.7,56.1,5.43,298.6,47.8,26.8,25.5,163822.05,162.2,0.3500027987685418,Loamy
Gram,Rabi       ,Assam,2244.0,1575,2372.9,363976.8,785.4,0.64,20.5,47.1,6.58,298.6,49.8,23.5,26.7,1436.16,162.2,0.35,Sandy Loam
Jute,Kharif     ,Assam,65789.0,761571,2372.9,10670975.8,23026.2,11.12,23.1,65.3,7.31,199.8,50.3,25.5,24.2,731573.6799999999,162.20000000000002,0.350000760005472,Loamy
Linseed,Rabi       ,Assam,4763.0,2898,2372.9,772558.6,1667.0,0.6,28.0,70.8,6.71,298.6,52.1,21.7,26.3,2857.8,162.2,0.3499895024144446,Loamy
Masoor,Rabi       ,Assam,26731.0,19573,2372.9,4335768.2,9355.8,0.72,19.3,52.4,7.15,298.6,49.1,22.9,28.0,19246.32,162.20000000000002,0.3499981295125509,Loamy
Mesta,Kharif     ,Assam,3287.0,19722,2372.9,533151.4,1150.4,5.71,29.2,41.4,5.44,298.6,47.6,27.0,25.4,18768.77,162.20000000000002,0.3499847885609979,Loamy
Moong(Green Gram),Rabi       ,Assam,11113.0,7703,2372.9,1802528.6,3889.6,0.66,21.3,68.9,6.57,298.6,53.7,21.8,24.5,7334.58,162.20000000000002,0.35000449923513,Sandy Loam
Niger seed,Kharif     ,Assam,5674.0,3129,2372.9,920322.8,1985.9,0.54,34.8,56.0,5.93,298.6,48.0,24.9,27.1,3063.96,162.20000000000002,0.35,Loamy
Onion,Whole Year ,Assam,8211.0,84835,2372.9,1331824.2,2873.8,7.46,28.1,51.9,7.26,298.6,52.1,23.5,24.4,61254.06,162.2,0.3499939106077214,Loamy
Other  Rabi pulses,Rabi       ,Assam,14865.0,12264,2372.9,2411103.0,5202.8,0.66,21.8,65.7,5.89,298.6,45.9,30.4,23.7,9810.9,162.2,0.3500033636057854,Loamy
Peas & beans (Pulses),Rabi       ,Assam,29860.0,27965,2372.9,4843292.0,10451.0,0.92,18.3,65.5,6.71,298.6,48.9,26.9,24.2,27471.2,162.2,0.35,Sandy Loam
Potato,Whole Year ,Assam,103205.0,773481,2372.9,16739851.0,36121.8,7.51,26.5,70.8,7.32,298.6,53.0,22.9,24.1,775069.5499999999,162.2,0.3500004844726515,Alluvial
Rapeseed &Mustard,Rabi       ,Assam,285736.0,183665,2372.9,46346379.2,100007.6,0.64,25.7,73.5,5.63,298.6,49.0,28.7,22.3,182871.04,162.20000000000002,0.35,Loamy
Rice,Autumn     ,Assam,144766.0,209122,2372.9,23481045.2,50668.1,1.49,19.5,83.4,5.49,298.6,52.1,31.1,16.8,215701.34,162.2,0.35,Clayey
Rice,Summer     ,Assam,400873.0,1145512,2372.9,65021600.6,140305.6,2.64,18.9,88.3,5.72,298.6,54.6,25.9,19.5,1058304.72,162.20000000000002,0.3500001247277816,Clayey
Rice,Winter     ,Assam,1879539.0,4082738,2372.9,304861225.8,657838.6,2.15,21.2,75.2,6.02,298.6,50.7,28.5,20.8,4041008.85,162.20000000000002,0.3499999733977321,Clayey
Sesamum,Kharif     ,Assam,11983.0,8355,2372.9,1943642.6,4194.0,0.65,19.8,58.3,6.23,298.6,50.2,25.4,24.4,7788.95,162.20000000000002,0.3499958274221814,Loamy
Sweet potato,Whole Year ,Assam,5020.0,26342,2372.9,814244.0,1757.0,5.69,26.9,79.8,5.85,298.6,54.9,22.8,22.2,28563.800000000003,162.2,0.35,Loamy
Tapioca,Whole Year ,Assam,3364.0,31751,2372.9,545640.8,1177.4,8.9,18.9,67.3,6.58,298.6,48.8,26.2,25.0,29939.6,162.20000000000002,0.35,Loamy
Tobacco,Whole Year ,Assam,141.0,71,2372.9,22870.2,49.4,0.55,25.6,56.4,5.88,298.6,48.3,25.6,26.1,77.55000000000001,162.20000000000002,0.350354609929078,Loamy
Turmeric,Whole Year ,Assam,15896.0,19395,2372.9,2578331.2,5563.6,1.23,22.3,51.8,6.25,298.6,52.4,24.6,23.0,19552.08,162.20000000000002,0.35,Red Loamy
Urad,Rabi       ,Assam,59866.0,39815,2372.9,9710265.2,20953.1,0.67,26.8,51.2,5.69,298.6,51.0,23.7,25.3,40110.22,162.2,0.35,Loamy
Arecanut,Rabi       ,Meghalaya,18220.0,23999,5649.1,2955284.0,6377.0,1.29,28.5,49.3,6.34,298.6,50.2,20.7,29.1,23503.8,162.2,0.35,Laterite
Arhar/Tur,Kharif     ,Meghalaya,1183.0,1532,5649.1,191882.6,414.0,1.12,24.1,57.9,6.72,298.6,44.8,27.4,27.8,1324.96,162.20000000000002,0.3499577345731192,Sandy Loam
Banana,Kharif     ,Meghalaya,7273.0,94721,5649.1,1179680.6,2545.6,10.73,25.7,65.5,6.3,119.8,52.6,22.5,24.9,78039.29000000001,162.20000000000002,0.3500068747421971,Loamy
